**** The Simulator log: stage 4
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-3,20]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.5, open/close: 2.0,  start/stop: 3.0
2) ex0.simulator.Elevator_A, Elev_2, speed: 2.0, open/close: 2.0,  start/stop: 3.0
3) ex0.simulator.Elevator_A, Elev_3, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,3600.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 500
0.0,**** Simulation starts!! ****
112.0,Elevator call,111.62708145083661,0,-2,1,0, got allocated to elevator, 0
112.0,Elev,8,  arrived at src, 0, Elevator call,111.62708145083661,0,-2,2,0
112.0, elevID,8,  pos,0,  cmd, goto,0
112.0, elevID,9,  pos,-2,  cmd, goto,-2
112.0, elevID,10,  pos,-1,  cmd, goto,-1
113.0, elevID,8,  pos,0,  cmd, goto,0
113.0, elevID,9,  pos,-2,  cmd, goto,-2
113.0, elevID,10,  pos,-1,  cmd, goto,-1
114.0, elevID,8,  pos,0,  cmd, goto,0
114.0, elevID,9,  pos,-2,  cmd, goto,-2
114.0, elevID,10,  pos,-1,  cmd, goto,-1
115.0, elevID,8,  pos,0,  cmd, goto,0
115.0, elevID,9,  pos,-2,  cmd, goto,-2
115.0, elevID,10,  pos,-1,  cmd, goto,-1
116.0, elevID,8,  pos,0,  cmd, goto,0
116.0, elevID,9,  pos,-2,  cmd, goto,-2
116.0, elevID,10,  pos,-1,  cmd, goto,-1
117.0, elevID,8,  pos,0,  cmd, goto,0
117.0, elevID,9,  pos,-2,  cmd, goto,-2
117.0, elevID,10,  pos,-1,  cmd, goto,-1
118.0, elevID,8,  pos,0,  cmd, goto,0
118.0, elevID,9,  pos,-2,  cmd, goto,-2
118.0, elevID,10,  pos,-1,  cmd, goto,-1
119.0, elevID,8,  pos,0,  cmd, goto,0
119.0, elevID,9,  pos,-2,  cmd, goto,-2
119.0, elevID,10,  pos,-1,  cmd, goto,-1
120.0, elevID,8,  pos,0,  cmd, goto,0
