**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 100
0.0,**** Simulation starts!! ****
5.0,Elevator call,4.374727290393253,0,-1,1,0, got allocated to elevator, 0
142.0, elevID,3,  pos,3,  cmd, goto,3
143.0, elevID,2,  pos,0,  cmd, goto,0
143.0, elevID,3,  pos,3,  cmd, goto,3
144.0, elevID,2,  pos,0,  cmd, goto,0
144.0,Elevator call,143.91335838799415,0,6,1,0, got allocated to elevator, 0
144.0,Elev,2,  arrived at src, 0, Elevator call,143.91335838799415,0,6,2,0
144.0, elevID,2,  pos,0,  cmd, goto,0
144.0, elevID,3,  pos,3,  cmd, goto,3
145.0, elevID,2,  pos,0,  cmd, goto,0
145.0, elevID,3,  pos,3,  cmd, goto,3
146.0, elevID,2,  pos,0,  cmd, goto,0
146.0, elevID,3,  pos,3,  cmd, goto,3
147.0, elevID,2,  pos,0,  cmd, goto,0
147.0, elevID,3,  pos,3,  cmd, goto,3
148.0, elevID,2,  pos,0,  cmd, goto,0
148.0, elevID,3,  pos,3,  cmd, goto,3
149.0, elevID,2,  pos,0,  cmd, goto,0
149.0, elevID,3,  pos,3,  cmd, goto,3
150.0, elevID,2,  pos,0,  cmd, goto,0
150.0, elevID,3,  pos,3,  cmd, goto,3
151.0, elevID,2,  pos,0,  cmd, goto,0
151.0, elevID,3,  pos,3,  cmd, goto,3
152.0, elevID,2,  pos,0,  cmd, goto,0
152.0, elevID,3,  pos,3,  cmd, goto,3
153.0, elevID,2,  pos,0,  cmd, goto,0
153.0, elevID,3,  pos,3,  cmd, goto,3
154.0, elevID,2,  pos,0,  cmd, goto,0
154.0, elevID,3,  pos,3,  cmd, goto,3
155.0, elevID,2,  pos,0,  cmd, goto,0
155.0, elevID,3,  pos,3,  cmd, goto,3
156.0, elevID,2,  pos,0,  cmd, goto,0
156.0, elevID,3,  pos,3,  cmd, goto,3
157.0, elevID,2,  pos,0,  cmd, goto,0
157.0, elevID,3,  pos,3,  cmd, goto,3
158.0, elevID,2,  pos,0,  cmd, goto,0
158.0, elevID,3,  pos,3,  cmd, goto,3
159.0, elevID,2,  pos,0,  cmd, goto,0
159.0, elevID,3,  pos,3,  cmd, goto,3
160.0, elevID,2,  pos,0,  cmd, goto,0
160.0, elevID,3,  pos,3,  cmd, goto,3
161.0, elevID,2,  pos,0,  cmd, goto,0
161.0, elevID,3,  pos,3,  cmd, goto,3
162.0, elevID,2,  pos,0,  cmd, goto,0
162.0, elevID,3,  pos,3,  cmd, goto,3
163.0, elevID,2,  pos,0,  cmd, goto,0
163.0, elevID,3,  pos,3,  cmd, goto,3
164.0, elevID,2,  pos,0,  cmd, goto,0
164.0, elevID,3,  pos,3,  cmd, goto,3
165.0, elevID,2,  pos,0,  cmd, goto,0
165.0, elevID,3,  pos,3,  cmd, goto,3
166.0, elevID,2,  pos,0,  cmd, goto,0
166.0, elevID,3,  pos,3,  cmd, goto,3
167.0, elevID,2,  pos,0,  cmd, goto,0
167.0, elevID,3,  pos,3,  cmd, goto,3
168.0, elevID,2,  pos,0,  cmd, goto,0
168.0, elevID,3,  pos,3,  cmd, goto,3
169.0, elevID,2,  pos,0,  cmd, goto,0
169.0, elevID,3,  pos,3,  cmd, goto,3
170.0, elevID,3,  pos,3,  cmd, goto,3
170.0,Elevator call,169.78458339380109,-1,0,1,1, got allocated to elevator, 1
170.0, elevID,2,  pos,0,  cmd, goto,0
170.0, elevID,3,  pos,3,  cmd, goto,3
171.0, elevID,2,  pos,0,  cmd, goto,0
171.0,Elevator call,170.0099620835246,0,6,1,0, got allocated to elevator, 0
171.0,Elev,2,  arrived at src, 0, Elevator call,170.0099620835246,0,6,2,0
171.0, elevID,2,  pos,0,  cmd, goto,0
171.0, elevID,3,  pos,3,  cmd, goto,3
172.0, elevID,3,  pos,3,  cmd, goto,3
172.0,Elevator call,171.21173315221364,-1,8,1,1, got allocated to elevator, 1
172.0, elevID,2,  pos,0,  cmd, goto,0
172.0, elevID,3,  pos,3,  cmd, goto,3
173.0, elevID,2,  pos,0,  cmd, goto,0
173.0, elevID,3,  pos,3,  cmd, goto,3
174.0, elevID,2,  pos,0,  cmd, goto,0
174.0, elevID,3,  pos,3,  cmd, goto,3
175.0, elevID,2,  pos,0,  cmd, goto,0
175.0,Elevator call,174.84385152106802,0,-1,1,0, got allocated to elevator, 0
175.0,Elev,2,  arrived at src, 0, Elevator call,174.84385152106802,0,-1,2,0
175.0, elevID,2,  pos,0,  cmd, goto,0
175.0, elevID,3,  pos,3,  cmd, goto,3
176.0, elevID,2,  pos,0,  cmd, goto,0
176.0, elevID,3,  pos,3,  cmd, goto,3
177.0, elevID,2,  pos,0,  cmd, goto,0
177.0, elevID,3,  pos,3,  cmd, goto,3
178.0, elevID,2,  pos,0,  cmd, goto,0
178.0, elevID,3,  pos,3,  cmd, goto,3
179.0, elevID,2,  pos,0,  cmd, goto,0
179.0, elevID,3,  pos,3,  cmd, goto,3
180.0, elevID,2,  pos,0,  cmd, goto,0
180.0, elevID,3,  pos,3,  cmd, goto,3
181.0, elevID,2,  pos,0,  cmd, goto,0
181.0, elevID,3,  pos,3,  cmd, goto,3
182.0, elevID,2,  pos,0,  cmd, goto,0
182.0, elevID,3,  pos,3,  cmd, goto,3
183.0, elevID,2,  pos,0,  cmd, goto,0
183.0, elevID,3,  pos,3,  cmd, goto,3
184.0, elevID,2,  pos,0,  cmd, goto,0
184.0, elevID,3,  pos,3,  cmd, goto,3
185.0, elevID,2,  pos,0,  cmd, goto,0
185.0, elevID,3,  pos,3,  cmd, goto,3
186.0, elevID,2,  pos,0,  cmd, goto,0
186.0, elevID,3,  pos,3,  cmd, goto,3
187.0, elevID,2,  pos,0,  cmd, goto,0
187.0, elevID,3,  pos,3,  cmd, goto,3
188.0, elevID,3,  pos,3,  cmd, goto,3
188.0,Elevator call,187.11678617348463,-1,-2,1,1, got allocated to elevator, 1
188.0, elevID,3,  pos,3,  cmd, goto,3
188.0,Elevator call,187.7299317966884,-1,-2,1,1, got allocated to elevator, 1
188.0, elevID,2,  pos,0,  cmd, goto,0
188.0, elevID,3,  pos,3,  cmd, goto,3
189.0, elevID,2,  pos,0,  cmd, goto,0
189.0, elevID,3,  pos,3,  cmd, goto,3
190.0, elevID,2,  pos,0,  cmd, goto,0
190.0, elevID,3,  pos,3,  cmd, goto,3
191.0, elevID,2,  pos,0,  cmd, goto,0
191.0, elevID,3,  pos,3,  cmd, goto,3
192.0, elevID,2,  pos,0,  cmd, goto,0
192.0, elevID,3,  pos,3,  cmd, goto,3
193.0, elevID,2,  pos,0,  cmd, goto,0
193.0, elevID,3,  pos,3,  cmd, goto,3
194.0, elevID,2,  pos,0,  cmd, goto,0
194.0, elevID,3,  pos,3,  cmd, goto,3
