**** The Simulator log: stage 9
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-10,100]
0) ex0.simulator.Elevator_A, Elev_0, speed: 5.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 10.0, open/close: 2.0,  start/stop: 3.0
2) ex0.simulator.Elevator_A, Elev_2, speed: 2.0, open/close: 2.0,  start/stop: 3.0
3) ex0.simulator.Elevator_A, Elev_3, speed: 12.0, open/close: 2.0,  start/stop: 3.0
4) ex0.simulator.Elevator_A, Elev_4, speed: 2.0, open/close: 2.0,  start/stop: 3.0
5) ex0.simulator.Elevator_A, Elev_5, speed: 3.0, open/close: 2.0,  start/stop: 3.0
6) ex0.simulator.Elevator_A, Elev_6, speed: 4.0, open/close: 2.0,  start/stop: 3.0
7) ex0.simulator.Elevator_A, Elev_7, speed: 4.0, open/close: 2.0,  start/stop: 3.0
8) ex0.simulator.Elevator_A, Elev_8, speed: 4.0, open/close: 2.0,  start/stop: 3.0
9) ex0.simulator.Elevator_A, Elev_9, speed: 4.0, open/close: 2.0,  start/stop: 3.0
70.0, elevID,52,  pos,-3,  cmd, goto,-3
70.0, elevID,53,  pos,-8,  cmd, goto,-8
70.0, elevID,55,  pos,-7,  cmd, goto,-7
71.0, elevID,52,  pos,-3,  cmd, goto,-3
71.0, elevID,53,  pos,-8,  cmd, goto,-8
71.0, elevID,55,  pos,-7,  cmd, goto,-7
72.0, elevID,52,  pos,-3,  cmd, goto,-3
72.0, elevID,53,  pos,-8,  cmd, goto,-8
72.0, elevID,55,  pos,-7,  cmd, goto,-7
73.0, elevID,52,  pos,-3,  cmd, goto,-3
73.0, elevID,53,  pos,-8,  cmd, goto,-8
73.0, elevID,55,  pos,-7,  cmd, goto,-7
73.0,Elev,58,  arrived at src, -1, Elevator call,59.8832891414022,-1,95,2,6
73.0, elevID,58,  pos,-1,  cmd, goto,-1
74.0, elevID,52,  pos,-3,  cmd, goto,-3
74.0, elevID,53,  pos,-8,  cmd, goto,-8
74.0, elevID,55,  pos,-7,  cmd, goto,-7
74.0, elevID,58,  pos,-1,  cmd, goto,-1
75.0, elevID,52,  pos,-3,  cmd, goto,-3
75.0, elevID,53,  pos,-8,  cmd, goto,-8
75.0, elevID,55,  pos,-7,  cmd, goto,-7
75.0, elevID,58,  pos,-1,  cmd, goto,-1
76.0, elevID,52,  pos,-3,  cmd, goto,-3
76.0,Elevator call,75.72747458099184,-3,78,1,0, got allocated to elevator, 0
76.0,Elev,52,  arrived at src, -3, Elevator call,75.72747458099184,-3,78,2,0
76.0, elevID,52,  pos,-3,  cmd, goto,-3
76.0, elevID,53,  pos,-8,  cmd, goto,-8
76.0, elevID,55,  pos,-7,  cmd, goto,-7
76.0, elevID,58,  pos,-1,  cmd, goto,-1
77.0, elevID,52,  pos,-3,  cmd, goto,-3
77.0, elevID,53,  pos,-8,  cmd, goto,-8
77.0, elevID,55,  pos,-7,  cmd, goto,-7
77.0, elevID,58,  pos,-1,  cmd, goto,-1
78.0, elevID,52,  pos,-3,  cmd, goto,-3
78.0, elevID,53,  pos,-8,  cmd, goto,-8
78.0, elevID,55,  pos,-7,  cmd, goto,-7
78.0, elevID,58,  pos,-1,  cmd, goto,-1
78.0,Elev,59,  arrived at src, -2, Elevator call,65.68076513617825,-2,61,2,7
78.0, elevID,59,  pos,-2,  cmd, goto,-2
79.0, elevID,52,  pos,-3,  cmd, goto,-3
79.0, elevID,53,  pos,-8,  cmd, goto,-8
79.0, elevID,55,  pos,-7,  cmd, goto,-7
79.0, elevID,58,  pos,-1,  cmd, goto,-1
79.0, elevID,59,  pos,-2,  cmd, goto,-2
80.0, elevID,52,  pos,-3,  cmd, goto,-3
80.0, elevID,53,  pos,-8,  cmd, goto,-8
80.0, elevID,55,  pos,-7,  cmd, goto,-7
80.0, elevID,58,  pos,-1,  cmd, goto,-1
80.0, elevID,59,  pos,-2,  cmd, goto,-2
81.0, elevID,58,  pos,-1,  cmd, goto,-1
81.0,Elevator call,80.54056995114593,-1,-2,1,6, got allocated to elevator, 6
81.0, elevID,52,  pos,-3,  cmd, goto,-3
81.0, elevID,53,  pos,-8,  cmd, goto,-8
81.0, elevID,55,  pos,-7,  cmd, goto,-7
81.0,Elev,58,  arrived at src, -1, Elevator call,80.54056995114593,-1,-2,2,6
81.0, elevID,58,  pos,-1,  cmd, goto,-1
81.0, elevID,59,  pos,-2,  cmd, goto,-2
82.0,Elevator call,81.83610880045785,-4,71,1,8, got allocated to elevator, 8
82.0, elevID,52,  pos,-3,  cmd, goto,-3
82.0, elevID,53,  pos,-8,  cmd, goto,-8
82.0, elevID,55,  pos,-7,  cmd, goto,-7
82.0, elevID,58,  pos,-1,  cmd, goto,-1
82.0, elevID,59,  pos,-2,  cmd, goto,-2
82.0, elevID,60,  pos,-10,  cmd, goto,-4
83.0,Elevator call,82.2221532378262,-4,84,1,8, got allocated to elevator, 8
83.0,Elevator call,82.9367101264711,-4,46,1,8, got allocated to elevator, 8
83.0, elevID,52,  pos,-3,  cmd, goto,-3
83.0, elevID,53,  pos,-8,  cmd, goto,-8
83.0, elevID,55,  pos,-7,  cmd, goto,-7
83.0, elevID,58,  pos,-1,  cmd, goto,-1
83.0, elevID,59,  pos,-2,  cmd, goto,-2
84.0, elevID,52,  pos,-3,  cmd, goto,-3
84.0, elevID,53,  pos,-8,  cmd, goto,-8
84.0, elevID,55,  pos,-7,  cmd, goto,-7
84.0, elevID,58,  pos,-1,  cmd, goto,-1
84.0, elevID,59,  pos,-2,  cmd, goto,-2
85.0, elevID,52,  pos,-3,  cmd, goto,-3
85.0, elevID,53,  pos,-8,  cmd, goto,-8
85.0, elevID,55,  pos,-7,  cmd, goto,-7
85.0, elevID,58,  pos,-1,  cmd, goto,-1
85.0, elevID,59,  pos,-2,  cmd, goto,-2
86.0, elevID,52,  pos,-3,  cmd, goto,-3
86.0, elevID,53,  pos,-8,  cmd, goto,-8
86.0, elevID,55,  pos,-7,  cmd, goto,-7
86.0, elevID,58,  pos,-1,  cmd, goto,-1
86.0, elevID,59,  pos,-2,  cmd, goto,-2
87.0, elevID,52,  pos,-3,  cmd, goto,-3
87.0, elevID,53,  pos,-8,  cmd, goto,-8
87.0, elevID,55,  pos,-7,  cmd, goto,-7
87.0, elevID,58,  pos,-1,  cmd, goto,-1
87.0, elevID,59,  pos,-2,  cmd, goto,-2
88.0, elevID,52,  pos,-3,  cmd, goto,-3
88.0, elevID,53,  pos,-8,  cmd, goto,-8
88.0, elevID,55,  pos,-7,  cmd, goto,-7
88.0, elevID,58,  pos,-1,  cmd, goto,-1
88.0, elevID,59,  pos,-2,  cmd, goto,-2
89.0, elevID,52,  pos,-3,  cmd, goto,-3
89.0, elevID,53,  pos,-8,  cmd, goto,-8
89.0, elevID,55,  pos,-7,  cmd, goto,-7
89.0, elevID,58,  pos,-1,  cmd, goto,-1
89.0, elevID,59,  pos,-2,  cmd, goto,-2
90.0, elevID,52,  pos,-3,  cmd, goto,-3
90.0, elevID,53,  pos,-8,  cmd, goto,-8
90.0, elevID,55,  pos,-7,  cmd, goto,-7
90.0, elevID,58,  pos,-1,  cmd, goto,-1
90.0, elevID,59,  pos,-2,  cmd, goto,-2
91.0, elevID,52,  pos,-3,  cmd, goto,-3
91.0, elevID,53,  pos,-8,  cmd, goto,-8
91.0, elevID,55,  pos,-7,  cmd, goto,-7
91.0, elevID,58,  pos,-1,  cmd, goto,-1
91.0, elevID,59,  pos,-2,  cmd, goto,-2
92.0, elevID,52,  pos,-3,  cmd, goto,-3
92.0, elevID,53,  pos,-8,  cmd, goto,-8
92.0, elevID,55,  pos,-7,  cmd, goto,-7
92.0, elevID,58,  pos,-1,  cmd, goto,-1
92.0, elevID,59,  pos,-2,  cmd, goto,-2
93.0, elevID,53,  pos,-8,  cmd, goto,-8
93.0,Elevator call,92.10943365362255,-8,49,1,1, got allocated to elevator, 1
93.0, elevID,52,  pos,-3,  cmd, goto,-3
93.0,Elev,53,  arrived at src, -8, Elevator call,92.10943365362255,-8,49,2,1
93.0, elevID,53,  pos,-8,  cmd, goto,-8
93.0, elevID,55,  pos,-7,  cmd, goto,-7
93.0, elevID,58,  pos,-1,  cmd, goto,-1
93.0, elevID,59,  pos,-2,  cmd, goto,-2
94.0, elevID,52,  pos,-3,  cmd, goto,-3
94.0, elevID,53,  pos,-8,  cmd, goto,-8
94.0, elevID,55,  pos,-7,  cmd, goto,-7
94.0, elevID,58,  pos,-1,  cmd, goto,-1
94.0, elevID,59,  pos,-2,  cmd, goto,-2
94.0,Elev,60,  arrived at src, -4, Elevator call,81.83610880045785,-4,71,2,8
94.0,Elev,60,  arrived at src, -4, Elevator call,82.2221532378262,-4,84,2,8
94.0,Elev,60,  arrived at src, -4, Elevator call,82.9367101264711,-4,46,2,8
94.0, elevID,60,  pos,-4,  cmd, goto,-4
95.0, elevID,52,  pos,-3,  cmd, goto,-3
95.0, elevID,53,  pos,-8,  cmd, goto,-8
95.0, elevID,55,  pos,-7,  cmd, goto,-7
95.0, elevID,58,  pos,-1,  cmd, goto,-1
95.0, elevID,59,  pos,-2,  cmd, goto,-2
95.0, elevID,60,  pos,-4,  cmd, goto,-4
96.0,Elevator call,95.13692146543258,-5,2,1,9, got allocated to elevator, 9
96.0, elevID,52,  pos,-3,  cmd, goto,-3
96.0, elevID,53,  pos,-8,  cmd, goto,-8
96.0, elevID,55,  pos,-7,  cmd, goto,-7
96.0, elevID,58,  pos,-1,  cmd, goto,-1
96.0, elevID,59,  pos,-2,  cmd, goto,-2
96.0, elevID,60,  pos,-4,  cmd, goto,-4
96.0, elevID,61,  pos,-10,  cmd, goto,-5
97.0, elevID,52,  pos,-3,  cmd, goto,-3
97.0, elevID,53,  pos,-8,  cmd, goto,-8
